L1;L2;L3;L4;L5;L6;L7;L8
regional music;music of Asia;maqāmic music;maqom;;;;
regional music;music of Asia;maqāmic music;mugham;symphonic mugham;;;
regional music;music of Asia;maqāmic music;mugham;zerbi mugham;;;
regional music;music of Asia;maqāmic music;muqam;;;;
regional music;music of Asia;maqāmic music;Ottoman classical music;peşrev;;;
regional music;music of Asia;maqāmic music;Ottoman classical music;Saz semai;;;
regional music;music of Asia;maqāmic music;Ottoman classical music;Turkish mevlevi music;;;
regional music;music of Asia;maqāmic music;Ottoman classical music;şarkı;;;
regional music;music of Asia;maqāmic music;Persian traditional music;Bayat-e Esfahan;;;
regional music;music of Asia;maqāmic music;Persian traditional music;dashti;;;
regional music;music of Asia;maqāmic music;Persian traditional music;dastgah music;;;
regional music;music of Asia;maqāmic music;Persian traditional music;Sassanid music;;;
regional music;music of Asia;maqāmic music;Sufiana kalam;;;;
regional music;music of Asia;maqāmic music;Uzbek classical music;Ashula;;;
regional music;music of Asia;maqāmic music;Uzbek classical music;shashmaqam;;;
regional music;music of Asia;music of Central Asia;Balochi music;Balochi folk music;;;
regional music;music of Asia;music of Central Asia;Burushaski folk music;;;;
regional music;music of Asia;music of Central Asia;Karakalpak music;Karakalpak folk song;;;
regional music;music of Asia;music of Central Asia;music of Afghanistan;Afghan hip hop;;;
regional music;music of Asia;music of Central Asia;music of Afghanistan;Hazara folk music;;;
regional music;music of Asia;music of Central Asia;music of Afghanistan;Klasik;;;
regional music;music of Asia;music of Central Asia;music of Afghanistan;music of Badakhshan;Pamiri music;falak;
regional music;music of Asia;music of Central Asia;music of Afghanistan;Pashto music;Pashto folk music;;
regional music;music of Asia;music of Central Asia;music of Altai;Altai folk music;;;
regional music;music of Asia;music of Central Asia;music of Altai;kai;;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh estrada music;;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Akzhelen;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Estirtu;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Jarapazan;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Joktau;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Jubatu;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Kazakh historical song;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Kui;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;Zhar-zhar;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh folk music;zheldirme;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh hip hop;;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Kazakh pop;;;
regional music;music of Asia;music of Central Asia;music of Kazakhstan;Q-pop;;;
regional music;music of Asia;music of Central Asia;music of Kyrgyzstan;Kyrgyz music;Kyrgyz film music;;
regional music;music of Asia;music of Central Asia;music of Kyrgyzstan;Kyrgyz music;Kyrgyz folk music;Zhar-zhar;
regional music;music of Asia;music of Central Asia;music of Mongolia;holboo;;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Kalmyk music;;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian folk music;bogino duu;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian folk music;Long song;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian folk music;morin khuur;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian folk music;Tsuur music;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian hip hop;;;
regional music;music of Asia;music of Central Asia;music of Mongolia;Mongolian pop;;;
regional music;music of Asia;music of Central Asia;music of Mongolia;zohioliin duu;;;
regional music;music of Asia;music of Central Asia;music of Tajikistan;music of Badakhshan;Pamiri music;falak;
regional music;music of Asia;music of Central Asia;music of Tajikistan;Tajik music;shashmaqam;;
regional music;music of Asia;music of Central Asia;music of Tibet;boedra;;;
regional music;music of Asia;music of Central Asia;music of Tibet;chöd;;;
regional music;music of Asia;music of Central Asia;music of Tibet;gambang koromong;;;
regional music;music of Asia;music of Central Asia;music of Tibet;Tibetan Buddhist music;Tibetan Buddhist chant;;
regional music;music of Asia;music of Central Asia;music of Turkmenistan;Turkmen music;;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;lazgi;;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;maqom;;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek classical music;Ashula;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek classical music;shashmaqam;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek estrada music;;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek folk music;Alyor;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek hip hop;;;
regional music;music of Asia;music of Central Asia;music of Uzbekistan;Uzbek pop;;;
regional music;music of Asia;music of Central Asia;Sufiana kalam;;;;
regional music;music of Asia;music of Central Asia;toi music;;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;algysh;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Bashkir folk music;Bashkir folk song;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Bashkir folk music;kyska-kui;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Bashkir folk music;takmak;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Bashkir folk music;uzun-kui;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Buryat folk music;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Central Asian throat singing;kai;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Central Asian throat singing;Mongolian throat singing;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Central Asian throat singing;Tuvan throat singing;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kalmyk folk music;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Karakalpak folk song;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Akzhelen;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Estirtu;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Jarapazan;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Joktau;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Jubatu;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Kazakh historical song;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Kui;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;Zhar-zhar;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kazakh folk music;zheldirme;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Khakas folk music;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kui;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kyrgyz music;Kyrgyz film music;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Kyrgyz music;Kyrgyz folk music;Zhar-zhar;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Mongolian folk music;bogino duu;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Mongolian folk music;Long song;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Mongolian folk music;morin khuur;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Mongolian folk music;Tsuur music;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;music of Altai;Altai folk music;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;music of Altai;kai;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;takmak;;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Tatar folk music;kyska-kui;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Tatar folk music;Qaytarma;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Tatar folk music;uzun-kui;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Tatar folk music;Volga Tatar folk music;;
regional music;music of Asia;music of Central Asia;Turkic-Mongolic music;Uzbek folk music;Alyor;;
regional music;music of Asia;music of Central Asia;Uyghur music;bayawan;;;
regional music;music of Asia;music of Central Asia;Uyghur music;muqam;;;
regional music;music of Asia;music of East Asia;Ainu music;Ainu folk music;rekuhkara;;
regional music;music of Asia;music of East Asia;Ainu music;Ainu folk music;upopo;;
regional music;music of Asia;music of East Asia;Ainu music;Ainu folk music;yukar;;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Baisha xiyue;;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese literati music;;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Anshun local opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Baizi opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Bian lian;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Cantonese opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Cantonese operatic songs;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;chuanqi;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Clapper opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Er ren tai;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Gaojia opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Hakka opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Han opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Hebei bangzi;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Henan opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huaguxi;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huai Opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huaihai Opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huangmei opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huayin Laoqiang;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Huiju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Jilin opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;kunqu;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Liuqiang;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Liuqin opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Liyuan opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Longjiang opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Luju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Lüju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Maoqiang Opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Min opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;nanxi;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Nuo theatre;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Ouju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Peking opera;Korean revolutionary opera
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Peking opera;revolutionary opera
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Pingju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Puju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Puxian opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;qinqiang;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;ritual opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Shanghai opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Shanxi opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Shao opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Sichuan opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Suzhou opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Taiwanese Hakka Tea-picking opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Taiwanese opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;tea-picking opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Teochew opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Tongzi Opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Wuju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Xi Opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Yangzhou opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Yuan ben;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Yue opera;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;Yuncheng meihu;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;Chinese opera;zaju;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;dongjing;;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;nanguan;;
regional music;music of Asia;music of East Asia;East Asian classical music;Chinese classical music;yayue;;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;eikyoku;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;komagaku;Kudaragaku
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;komagaku;Shiragigaku
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;Rin'yūgaku;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;Toragaku;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;gagaku;Tōgaku;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;nhã nhạc;;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;rujigaku;;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;Ryukyu classical music;omoro;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;Ryukyu classical music;yunta;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;uzagaku;;
regional music;music of Asia;music of East Asia;East Asian classical music;East Asian court ceremonial music;yayue;;
regional music;music of Asia;music of East Asia;East Asian classical music;Japanese classical music;Honkyoku;;
regional music;music of Asia;music of East Asia;East Asian classical music;Japanese classical music;meiji shinkyoku;;
regional music;music of Asia;music of East Asia;East Asian classical music;Japanese classical music;shōmyō;;
regional music;music of Asia;music of East Asia;East Asian classical music;Japanese classical music;sokyoku;Danmono;
regional music;music of Asia;music of East Asia;East Asian classical music;Japanese classical music;sokyoku;kumiuta;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;aak;;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;Boheoja;;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;dangak;;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;hyangak;;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;jeongak;gagok;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;Nakyangchun;;
regional music;music of Asia;music of East Asia;East Asian classical music;Korean court music;Yeongsan hoesang;;
regional music;music of Asia;music of East Asia;East Asian classical music;Vietnamese classical music;ca trù;;
regional music;music of Asia;music of East Asia;East Asian classical music;Vietnamese classical music;tuồng;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;eikyoku;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;komagaku;Kudaragaku;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;komagaku;Shiragigaku;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;Rin'yūgaku;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;Toragaku;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;gagaku;Tōgaku;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;nhã nhạc;;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;rujigaku;;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;Ryukyu classical music;omoro;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;Ryukyu classical music;yunta;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;uzagaku;;;
regional music;music of Asia;music of East Asia;East Asian court ceremonial music;yayue;;;
regional music;music of Asia;music of East Asia;East Asian folk music;Ainu folk music;rekuhkara;;
regional music;music of Asia;music of East Asia;East Asian folk music;Ainu folk music;upopo;;
regional music;music of Asia;music of East Asia;East Asian folk music;Ainu folk music;yukar;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Beiguan;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Chinese folk flute music;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;gezi;koa-á;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Haimen folk song;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Hakka traditional music;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Han folk music;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Jiangnan sizhu;Teochew string music;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Naamyam;;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;shan'ge;Yunnan hill song;
regional music;music of Asia;music of East Asia;East Asian folk music;Chinese traditional music;Xi'an guyue;;
regional music;music of Asia;music of East Asia;East Asian folk music;indigenous Taiwanese music;;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;bushi;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;kouta;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;min'yō;Nanbu Ushiouta;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;min'yō;Ōshima bushi;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;Miyako folk music;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;ondo;Aikawa Ondo;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;rōkyoku;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;taiko music;;
regional music;music of Asia;music of East Asia;East Asian folk music;Japanese folk music;tsugaru-jamisen;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;Imsil Pilbong nongak;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;japga;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;Korean folk song;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;minyo;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;Musok eumak;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;pansori;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;pungmul;Utdari Nongak;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;Pungmul as Protest;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;sanjo;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;seonsori;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;Sinawi;;
regional music;music of Asia;music of East Asia;East Asian folk music;Korean folk music;South Korean folk music;;
regional music;music of Asia;music of East Asia;music of China;ancient Chinese music;;;
regional music;music of Asia;music of East Asia;music of China;ancient Naxi music;Baisha xiyue;;
regional music;music of Asia;music of East Asia;music of China;ancient Naxi music;dongjing;;
regional music;music of Asia;music of East Asia;music of China;Chinese alternative music;;;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Baisha xiyue;;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese literati music;;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Anshun local opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Baizi opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Bian lian;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Cantonese opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Cantonese operatic songs;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;chuanqi;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Clapper opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Er ren tai;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Gaojia opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Hakka opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Han opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Hebei bangzi;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Henan opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huaguxi;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huai Opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huaihai Opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huangmei opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huayin Laoqiang;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Huiju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Jilin opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;kunqu;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Liuqiang;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Liuqin opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Liyuan opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Longjiang opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Luju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Lüju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Maoqiang Opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Min opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;nanxi;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Nuo theatre;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Ouju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Peking opera;Korean revolutionary opera
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Peking opera;revolutionary opera
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Pingju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Puju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Puxian opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;qinqiang;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;ritual opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Shanghai opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Shanxi opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Shao opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Sichuan opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Suzhou opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Taiwanese Hakka Tea-picking opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Taiwanese opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;tea-picking opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Teochew opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Tongzi Opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Wuju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Xi Opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Yangzhou opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Yuan ben;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Yue opera;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;Yuncheng meihu;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;Chinese opera;zaju;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;dongjing;;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;nanguan;;
regional music;music of Asia;music of East Asia;music of China;Chinese classical music;yayue;;
regional music;music of Asia;music of East Asia;music of China;Chinese new year songs;;;
regional music;music of Asia;music of East Asia;music of China;Chinese orchestral music;;;
regional music;music of Asia;music of East Asia;music of China;Chinese stringed music;Teochew string music;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Beiguan;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Chinese folk flute music;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;gezi;koa-á;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Haimen folk song;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Hakka traditional music;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Han folk music;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Jiangnan sizhu;Teochew string music;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Naamyam;;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;shan'ge;Yunnan hill song;
regional music;music of Asia;music of East Asia;music of China;Chinese traditional music;Xi'an guyue;;
regional music;music of Asia;music of East Asia;music of China;Chinese yellow music;;;
regional music;music of Asia;music of East Asia;music of China;guoyue;;;
regional music;music of Asia;music of East Asia;music of China;Hakka music;Hakka hill song;;
